OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD15
40,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,0.094
60,1800,160,100,0,0,0.4,40,0.6,1.5,0.4,125,1100,0.124
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,1.214514039,0.6,175,1100,0.10502
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,2,50,1100,0.57428
80,1.5,5,100,0,0,0.374007744,46,0.624647855,1,0.184,50,1100,0.10355
80,107.2756895,25,85.52915767,0,14.47084233,1,100,1,0.348205152,0.55759543,184.4523983,1100,0.0332888
90,15,4,85.52915767,0,14.47084233,0,46.3,0.465464548,0.023366566,0.4,50.8,1100,0.21671
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.57162082,2.305618056,0.4,50,1100,0.43811
80,20,5,74.37742114,16.76812396,8.854454898,0.169105913,100,0.133238398,2.734366353,3,125,1100,0.756
120,15,6.25,85.52915767,0,14.47084233,0.045069975,46.3,0.417307997,0.085529158,0.4,50,1100,0.778
80,233.5519686,55.55647342,85.52915767,0,14.47084233,1.128877212,100,3.166666667,0.1,0.737582154,194.3525803,1100,0.03768
90,15,4,85.52915767,0,14.47084233,0,46.3,0.373892784,0.224573909,0.4,50.8,1100,0.4127
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1099.171835,0.1879685
100,75,50,100,0,0,0,100,0,0.375,0.25,50,825,0.12475
20,40,5,74.37742114,16.76812396,8.854454898,0.53281198,100,1.035837366,2.734366353,3,125,1100,0.0064
50,60,25,0,75.66401816,24.33598184,1.108970229,0,0.947266894,2.269920545,0.7,125,1100,0.05854
30,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,0.029
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.273693305,0.25,125,1100,0.12696
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,0.03801
80,5,5,75,0,17.5,0.13,4.8,0.25,0.2,0.025,50,1100,0.01631
80,11.01091304,5,59,0,16,0.4,40,1.5,0.885,0.4,125,1100,0.19799
60,270,48.70743937,85.52915767,0,14.47084233,1.81430178,66.99913458,1.664700164,0.256587473,0.5,175,1100,0.07835
50,32.8446522,1,85.73,0,14.27,0.176470588,20,0.176470588,1.7146,0.5,125,1100,0.017
60,270,45.42261772,85.52915767,0,14.47084233,2.281361303,60.9980463,1.796126311,0.256587473,0.5,175,1100,0.09251
40,4,5,85.52915767,0,14.47084233,0.25,30,0.5,1.282937365,0.5,125,1100,0.032
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,0.17649
50,100,5.29,100,0,0,0,100,3,0.55,0.5,175,1100,0.02349919
50,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,0.148
80,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.09854
80,150,7,34.21166307,0,5.788336933,1.506886673,100,6.718206329,0.547386609,4,125,1100,0.13387
50,60,25,0,60.3,23.9,0.623635245,30,0.363860848,3,0.7,125,1100,0.0082
70,60,25,0,75.66401816,24.33598184,1.125104047,0,0.976247596,2.269920545,0.7,125,1100,0.008
70,60,25,0,75.66401816,24.33598184,1.394211044,0,1.371145954,2.269920545,0.7,125,1100,0.09023
50,300,25,85.52915767,0,14.47084233,0.15,100,0.15,2.56587473,0.2,175,1100,0.06431
70,11.050558,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,0.2494
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,901.0009666,0.3109
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.342116631,0.25,125,1100,0.14963
