"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"RU","OT",3.36079545454545,2,"OT:RU",5.4088
"RU","PT",3.40340909090909,9,"PT:RU",5.4088
"RU","RU",3.14174107142857,1,"RU:RU",5.4088
"RU","ST",3.16,10,"ST:RU",5.4088
"ST","AA",1.71546052631579,29,"AA:ST",2.36
"ST","AL",2.15972222222222,22,"AL:ST",2.36
"ST","CD",2.2125,16,"CD:ST",2.36
"ST","CL",2.46739130434783,18,"CL:ST",2.36
"ST","EW",2.7265625,4,"EW:ST",2.36
"ST","FR",2.28924418604651,15,"FR:ST",2.36
"ST","ICA",2.14133522727273,19,"ICA:ST",2.36
"ST","ICC",1.94034090909091,19,"ICC:ST",2.36
"ST","IR",2.54464285714286,22,"IR:ST",2.36
"ST","MT",2.4892578125,7,"MT:ST",2.36
"ST","O",1.28125,32,"O:ST",2.36
"ST","OT",2.86363636363636,8,"OT:ST",2.36
"ST","PT",2.54261363636364,14,"PT:ST",2.36
"ST","RU",2.46651785714286,10,"RU:ST",2.36
"ST","ST",2.60625,17,"ST:ST",2.36
