OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD17
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,0.855291577,0.6,175,1100,0.2728
70,3.401700251,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1.86031
60,51.01669281,25,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,125,1100,0.47586
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,3.28342
60,100,5.29,100,0,0,0,100,3,0.55,0.5,175,1100,0.22113042
60,40,4.5,85.52915767,0,14.47084233,3,20,10,2,0.05,50,1100,0.57593
40,8.093331718,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.41615
100,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1031,1.674
80,18.88169371,5,74.37742114,16.76812396,8.854454898,0.322609985,71.48829017,0.3132326,2.734366353,3,175,1100,0.98849
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1099.171835,3.8322145
30,10,20,100,0,0,0.111111111,100,0.428571429,1.5,1,88,1100,0.48919
30,60,25,0,75.66401816,24.33598184,0.991478011,0,0.895946091,2.269920545,0.7,125,1100,0.102
60,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1.36143
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.57312
55,178.7214194,120,100,0,0,0.599944605,100,4.727635529,1,0.9,125,1100,0.62263
80,250,86,0,0,0,0,68,0,0.15,0.15,175,1100,0.70216
60,270,48.92558452,85.52915767,0,14.47084233,1.645540756,64.7978551,1.698525054,0.256587473,0.5,175,1100,0.56929
60,270,48.37084145,85.52915767,0,14.47084233,1.671619117,63.72813147,1.639070353,0.256587473,0.5,175,1100,0.58285
58,2,25,85.52915767,0,14.47084233,0.436633416,63.88676437,0.184765936,2.138228942,0.8,175,1100,0.78002
80,10.43487187,1,77.1429,0,14.9804,0.176470588,20,0.176470588,1.542858,0.5,125,1100,0.84884
