,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 2.0 V
189,40.0,4.0,5.0,44.62645268,10.06087438,5.312672939,0.176470588,40.0,0.388888889,0.4,0.1,50.0,980.0,3.47348
566,130.0,37.68568939,4.0,85.52915767,0.0,14.47084233,0.176470588,100.0,0.176470588,0.769762419,0.5,175.0,1100.0,0.87822
450,50.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.1,90.0,1000.0,3.53537
54,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,3.421166307,0.05,50.0,1100.0,3.40886
141,50.0,32.8446522,1.0,85.73,0.0,14.27,0.176470588,20.0,0.176470588,1.7146,0.5,125.0,1100.0,1.61305
8,80.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.5,0.25,125.0,1100.0,5.76068
79,62.0,2.0,25.0,85.52915767,0.0,14.47084233,0.459179103,65.6723106,0.279702178,2.138228942,0.8,175.0,1100.0,1.86935
22,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,0.8509
234,90.0,15.0,4.0,85.52915767,0.0,14.47084233,0.302569627,0.0,1.139246151,0.085529158,0.0,50.0,1100.0,0.73064
268,70.0,60.0,25.0,0.0,83.55,16.45,1.209403102,0.0,0.949670782,2.5065,0.7,125.0,1100.0,0.932
119,40.0,50.0,4.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.428571429,0.38,0.2,50.0,1100.0,2.81902
519,40.0,8.093331718,5.0,100.0,0.0,0.0,0.25,40.0,0.5,0.4,0.1,90.0,980.0,1.12399
346,60.0,51.01669281,25.0,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,125.0,1100.0,1.09187
466,60.0,22.65314054,4.0,85.52915767,0.0,14.47084233,0.176,40.0,0.299,0.74838013,1.0,175.0,1100.0,0.92588
209,80.0,40.0,2.89,85.52915767,0.0,14.47084233,0.331638452,40.0,0.53927078,0.27,0.5,175.0,1100.0,2.34466
487,80.0,18.36534503,5.0,59.0,0.0,16.0,1.25,40.0,1.5,0.5,0.4,125.0,1100.0,2.19482
45,80.0,77.42553304,19.99378136,85.52915767,0.0,14.47084233,2.5,20.0,1.384231215,0.171058315,0.738396482,175.0,1100.0,1.08207369
288,50.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.367183177,0.5,125.0,1100.0,2.838
124,25.0,5.0,19.52906292,100.0,0.0,0.0,0.462567083,100.0,0.360291006,2.2,0.8,175.0,1100.0,0.32392
439,120.0,15.0,6.25,85.52915767,0.0,14.47084233,0.0,46.5,0.430129594,0.885714298,0.4,50.0,1100.0,2.0819
311,90.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,120.0,870.0,4.188
60,30.0,10.0,20.0,100.0,0.0,0.0,0.428571429,100.0,0.428571429,2.0,1.0,88.0,1100.0,1.10424498
223,60.0,60.0,25.0,0.0,60.3,23.9,0.651617251,30.0,0.352986376,3.0,0.7,125.0,1100.0,0.91941
544,60.0,270.0,46.628956,85.52915767,0.0,14.47084233,1.664678144,63.55320148,1.524590647,0.256587473,0.5,175.0,1100.0,1.44312
85,80.0,25.0,17.64,85.52915767,0.0,14.47084233,0.286056419,57.86464151,0.231387366,2.25,0.8,175.0,1100.0,3.23087
500,80.0,40.84253457,25.0,74.37742114,16.76812396,8.854454898,0.43,40.0,0.33,0.911455451,0.4,50.0,1100.0,2.25842
66,30.0,10.0,20.0,100.0,0.0,0.0,0.428571429,100.0,0.428571429,1.5,1.0,50.0,1100.0,1.44124
384,110.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,946.4664688,1.16564
