"rules","support","confidence","coverage","lift","count"
"{50<RU<=75} => {50<MEMBRANE<=125}",0.0397236614853195,0.958333333333333,0.0414507772020725,1.72858255451713,23
"{50<RU<=75} => {1000<EW<=1100}",0.0414507772020725,1,0.0414507772020725,1.32494279176201,24
"{50<RU<=75} => {PRESS=1}",0.0414507772020725,1,0.0414507772020725,1.17206477732794,24
"{60<TEMP<=70} => {50<MEMBRANE<=125}",0.0310880829015544,0.72,0.0431778929188256,1.29869158878505,18
"{60<TEMP<=70} => {PRESS=1}",0.0431778929188256,1,0.0431778929188256,1.17206477732794,25
"{PT FREE} => {IR FREE}",0.0310880829015544,0.666666666666667,0.0466321243523316,10.4324324324324,18
"{IR FREE} => {PT FREE}",0.0310880829015544,0.486486486486487,0.0639032815198618,10.4324324324324,18
"{PT FREE} => {0.75<ICA<1.5}",0.0328151986183074,0.703703703703704,0.0466321243523316,7.68763102725367,19
"{0.75<ICA<1.5} => {PT FREE}",0.0328151986183074,0.358490566037736,0.0915371329879102,7.68763102725367,19
"{PT FREE} => {15<O<=25}",0.0310880829015544,0.666666666666667,0.0466321243523316,3.3859649122807,18
"{PT FREE} => {5<AA<=25}",0.0345423143350604,0.740740740740741,0.0466321243523316,2.22222222222222,20
"{PT FREE} => {CL>0.5}",0.0328151986183074,0.703703703703704,0.0466321243523316,1.91288471570162,19
"{PT FREE} => {AL>1.5}",0.0414507772020725,0.888888888888889,0.0466321243523316,2.26725403817915,24
"{PT FREE} => {DISQUALIFIED}",0.0449050086355786,0.962962962962963,0.0466321243523316,2.23022222222222,26
"{PT FREE} => {FR>24}",0.0362694300518135,0.777777777777778,0.0466321243523316,1.7941567065073,21
"{PT FREE} => {50<MEMBRANE<=125}",0.0414507772020725,0.888888888888889,0.0466321243523316,1.60332294911734,24
"{PT FREE} => {1000<EW<=1100}",0.0466321243523316,1,0.0466321243523316,1.32494279176201,27
"{PT FREE} => {PRESS=1}",0.0449050086355786,0.962962962962963,0.0466321243523316,1.12865497076023,26
"{ICC=0} => {ICA=0}",0.0466321243523316,0.964285714285714,0.0483592400690846,12.984219269103,27
"{ICA=0} => {ICC=0}",0.0466321243523316,0.627906976744186,0.07426597582038,12.984219269103,27
"{ICC=0} => {AA>25}",0.0328151986183074,0.678571428571429,0.0483592400690846,6.33698156682028,19
"{AA>25} => {ICC=0}",0.0328151986183074,0.306451612903226,0.107081174438687,6.33698156682028,19
"{ICC=0} => {O FREE}",0.0328151986183074,0.678571428571429,0.0483592400690846,4.36547619047619,19
"{O FREE} => {ICC=0}",0.0328151986183074,0.211111111111111,0.155440414507772,4.36547619047619,19
"{ICC=0} => {PURE PT}",0.0414507772020725,0.857142857142857,0.0483592400690846,4.39190897597977,24
"{PURE PT} => {ICC=0}",0.0414507772020725,0.212389380530973,0.195164075993092,4.39190897597977,24
"{ICC=0} => {0<CL<=0.25}",0.0449050086355786,0.928571428571429,0.0483592400690846,3.12583056478405,26
"{ICC=0} => {FR>24}",0.0328151986183074,0.678571428571429,0.0483592400690846,1.56531018782015,19
"{ICC=0} => {70<TEMP<=80}",0.0328151986183074,0.678571428571429,0.0483592400690846,1.46601812366738,19
"{ICC=0} => {QUALIFIED}",0.0397236614853195,0.821428571428571,0.0483592400690846,1.44561441597916,23
"{ICC=0} => {RU FREE}",0.0345423143350604,0.714285714285714,0.0483592400690846,0.996557659208262,20
"{ICC=0} => {PRESS=1}",0.0483592400690846,1,0.0483592400690846,1.17206477732794,28
"{0.5<AL<=0.75} => {125<MEMBRANE<=175}",0.0328151986183074,0.678571428571429,0.0483592400690846,2.82656731757451,19
"{0.5<AL<=0.75} => {DISQUALIFIED}",0.0379965457685665,0.785714285714286,0.0483592400690846,1.81971428571429,22
"{0.5<AL<=0.75} => {FR>24}",0.0328151986183074,0.678571428571429,0.0483592400690846,1.56531018782015,19
"{0.5<AL<=0.75} => {RU FREE}",0.0466321243523316,0.964285714285714,0.0483592400690846,1.34535283993115,27
"{0.5<AL<=0.75} => {1000<EW<=1100}",0.0483592400690846,1,0.0483592400690846,1.32494279176201,28
"{0.5<ICC<=0.7} => {70<TEMP<=80}",0.0379965457685665,0.758620689655172,0.0500863557858377,1.63896037056099,22
"{0.5<ICC<=0.7} => {AA<=5}",0.0328151986183074,0.655172413793103,0.0500863557858377,1.17444219066937,19
"{0.5<ICC<=0.7} => {RU FREE}",0.0431778929188256,0.862068965517241,0.0500863557858377,1.20274200249273,25
"{0.5<ICC<=0.7} => {1000<EW<=1100}",0.0483592400690846,0.96551724137931,0.0500863557858377,1.27925510928746,28
"{0.5<ICC<=0.7} => {PRESS=1}",0.0431778929188256,0.862068965517241,0.0500863557858377,1.01040067011029,25
"{30<TEMP<=40} => {50<MEMBRANE<=125}",0.0362694300518135,0.724137931034483,0.0500863557858376,1.30615533354818,21
"{30<TEMP<=40} => {AA<=5}",0.0310880829015544,0.620689655172414,0.0500863557858377,1.11262944379204,18
